quote,author,category
Dare to share for to Give is to truly Live.,RVM,"inspiration, motivation"
Positive Power can inspire, Negative Power can perspire. Which power are you on?,RVM
"No one will come and save you. No one will come riding on a white horse and take all your worries away. You have to save yourself, little by little, day by day. Build yourself a home. Take care of your body. Find something to work on. Something that makes you excited, something you want to learn. Get yourself some books and learn them by heart. Get to know the author, where he grew up, what books he read himself. Take yourself out for dinner. Dress up for no one but you and simply feel nice. it’s a lovely feeling, to feel pretty. You don’t need anyone to confirm it.",Charlotte Eriksson,"anxiety, authors, body, books, charlotte-eriksson, feeling-pretty, health, home, learn, life, life-advice, love, mental-health, motivation, pretty, reading, recovery, save-you, save-yourself, self-esteem, self-worth, survival, work, worries, worry, writers, youth"
Gratitude is a powerful catalyst for happiness. It’s the spark that lights a fire of joy in your soul.,"Amy Collette, The Gratitude Connection: embrace the positive power of thanks","energy, gratitude, habits, happiness, inspiration, joy, joyful-living, motivation, positive-thinking, positivity, power"
"A lot can be changed in a span of a year. A thousand lives can be moulded, a lot many lessons can be learnt and life can show its unpredictability. Even so, one year is enough to prove to yourself that you are worth the struggle that you undertake just to reap a momentary fruit of that labour. If fighting a new fight keeps us motivated each year, so be it. Here is wishing every fighter, struggling to make a break and succeed in life a memorable New Year. Do what you do best and don't trade your passion for fame but rather earn the fame through your passion. May your fight be fruitful this year and your name engraved in hearts of horde in the form of your work.A Happy New Year to all my well wishers, peers, friends, colleagues, acquaintances and readers. May your year be blessed with good fortune and health with added wealth.My message this New Year is that in a world full of possibilities never limit yourself to the sky for what is sky when there is endless darkness beyond to lighten up. Take care.",Adhish Mazumder,"2017, 2017-quotes, adhish-mazumder, author-quotes, happy-new-year, inspiration-quotes, inspirational, inspirational-life, motivation, motivation-quotes, new-year, new-year-quotes, years"
You will never get the best out of anyone professionally unless you understand what motivates and makes them tick personally - as a human being,Rasheed Ogunlaru,"career-development, coaching-quotes, confidence, confidence-quotes, inspiration, inspirational-quotes, leadership, leadership-development, life-balance, life-balance-quotes, motivation, motivational-quotes, people-development, performance-management, performance-management-training, personal-development, rasheed-ogunlaru, rasheed-ogunlaru-quotes, sport, sports-inspirational, staff-development, team, teamwork, understanding-oneself-and-others, understanding-others, understanding-quotes"
"Behind every person there lies a story which makes them what they are. Many a time, the story isn’t known to anybody.","Toffee, Finding Juliet","life, motivation"
"The final magnificent spark of a firework is only the last seconds of the fall. Though it’s invisible to most, it’s the way up that creates all the impact. ",Charlotte Eriksson,"dedication, firework, hard-work, impact, inspiration, inspirational, motivaitonal, motivation, patience"
"Yesterday was just the tip of the iceberg of awesomeness. Things will get better. Keep smiling, don't give up just yet. Perseverance has an amazing gift for you, just wait you see.",Janna Cachola,"awesome, be-awesome, goaldigger, goals, inspiration, leadership, leadersip, motivation, perserverance, smile, teamwork"
Would you prefer to drag through life for 100 years or live with excitement for 50?,RVM,"inspiration, motivation"
"When the inner Spirit has Liberation, Inspiration is born!",RVM,"inspiration, motivation"
"It's too late,' she says.And I say 'It's never too late.","Lauren Oliver, Before I Fall","before-i-fall, motivation"
"They say “The journey of a thousand miles begins with a single step’”Get up and take that step!Take baby steps if you want but go for it,Wait no longer…START IT!",Akanksha Wadhavkar ....Author of Motivational poems for starlit souls,"inspiration, motivation, poem, poetry, self-help, self-improvement"
"Dear 2016,If I has any defeats in your term, I am glad they were on my terms!Best,The Defeated Winner",Jasleen Kaur Gumber,"2016, 2016-quotes, attitude, defeat, inspiration, life, motivation, winner, winners-mentality"
"Passion is the fuel for excellence. Rest, vacation or a payrise can't make you create excellence in your work. Findbwhat makes you passionate about what you do",Janna Cachola,"determination, excellence, inspiration, intentional, leaderaship, motivation, passion, team-builder"
Smile all the While. Don't let miseries Pile! For life is just a Mile.,RVM,"inspiration, motivation"
"A flower blossoms when there is sunlight,It closes itself in the absence of light..But I am a tree..I keep expanding even at night,I blossom even in the absence of sunlight!Because I trust myself more than anything else,I rely on myself more than anybody else!Self-confidence is indeed my power,Don’t forget..I am a tree..not a flower!",Akanksha Wadhavkar -Author of Motivational poems for starlit souls,"inspiration, motivation, poem, poetry, self-help, trust"
"Learn to be Positive always. In pleasure or Pain, in Sun or Rain, in Loss or Gain, always be POSITIVE!",RVM,"inspiration, motivation"
I don't want to be a kitten anymore. Give me my honorary claws so I can become a lion.,Kayla Krantz,"inspirational-quotes, motivation, strength"
Happiness does not come from making money. It comes from spending it. Most people are doing otherwise.,RVM,"inspiration, motivation"
Enjoy the Bliss of just Being…Without being dependent on anything!,RVM,"inspiration, motivation"
Birds fly in the sky without the fear of fall. We too must have the Courage to take Risks and grow tall.,RVM,"inspiration, motivation"
Don't lose today …for today is guaranteed but tomorrow is not.,RVM,"inspiration, motivation"
"As much as we can fight for material related dreams, we must also fight for intangible progression, in terms of improving our selves. Financial success is important but it doesn't supersede the success of being the best version of your self.. Fight for that, live for that, it will make you powerful, be the best version of your self.....",Tare Munzara,"best-version-of-you, dreams-inspirational, motivation"
"She is the force, that you end upreading about in thick novels. She is the kind of woman, you adore,for being so content with messy hair.She is the kind, who woulddecline whatever the mankind would exalt-and redesign everything that isinclined to remind herof how strongly, the society wants her confined.To this girl, on a romantic date,he asked the question inaccurate-""Honey, why do you always take the roadthat is so untold, hard and loathed?""She thought of giving him a second chance,and resisting any anger-loaded advance,She replied, ""Why do you speculate, that I choose my fate,imagining there are two roads?",Jasleen Kaur Gumber,"feminism, girl-power, motivation, strength, strong-woman, woman, womanhood"
"If you live in Fear, Success will disappear.",RVM,"inspiration, motivation"
"Ô, the wine of a woman from heaven is sent,more perfect than all that a man can invent.","Roman Payne, Europa: Limited Time Edition","activity, adventuress, aesthete, alive, allegory, ambition, at-one, beautiful, being-alive, body, body-fluids, bravery, children, compass, courage, daring, desire, direction, discovery, dreameress, dreams, drive, empowerment, enjoying, europa, exile, expatriate, experience, exploration, female, female-beauty, female-characters, female-empowerment, female-hero, female-liberation, females, femenism, feminine, feminine-power, femininity, feminism, feminismo, feminismo-radical, femme, filles, first-love, foreplay, freedom, fundamental, gentle, girl, girl-power, girl-quotes, girlpower, girls, goal, goals, happiness, hearts, human, imagination, inspiration, inspirational, inspirational-life, inspire, kiss, life, life-philosophy, literature, living, love, loving, map, memory, motivation, oral, oral-sex, painful, passion, passionate, payne, poetess, poetry, power, pretty, roam, roaming, roman-payne, roman-payne-quote, romantic, running, sacred, secretive, seduce, seduce-woman, seduce-women, seduction, seductive, self-discovery, sensual, sensuality, separation, sex, soul, strength, suffer, suffering, surrender, survival, survive, sweet, tags-adventuress, the-love-of-europa, the-self, the-wanderess, time, tormenting, travail, travailler, travel, travel-quotes, traveler, traveling-abroad, traveling-alone, traveling-around-the-world, traveller, travelling, vagina, vaginas, wander, wanderer, wanderers, wanderess, wanderess-quote, wandering, wanderlove, wanderlust, wandran, wayfarer, wayfaring, west-germanic, wildness, wine, wine-women, wisdom, woman, woman-s-character, woman-s-strength, womanhood, womans-strength, women, women-s-inspirational, women-s-liberation, women-s-strength, word-meanings, words, work, young-love"
"If people aren't on board with your dreams, there is still that one man canoe. Sail on and slay on with it.",Janna Cachola,"action, bosslady, bosslady-lead, carry-one, dreams, entrepreneur, goals, ignite, inspiration, inspire, live, millenial-leader, motivate, motivation, power-woman, slay, spark"
Don't let people intimidate you into downgrading your goals. They intimidate only because they are intimidated by your goals.,Janna Cachola,"be-fearless, boss, bosslady, determination, dreamer, dreams, entrepreneur, fearless, goal-setting, goaldigger, goals-and-dreams, inspiration, intentional-living, just-do-it, lead, live-it, motivation, never-give-up, passion, power-woman, spark"
"The odds are, you highly underestimate how awesome you are. Stop doing that.",Rob Liano,"confidence, developing-self, inspiration, inspirational-quote, life, life-quote, motivation, motivational-quote, self-acceptance, self-help, self-worth, talent, value, worthyness"
"Treasure your Ideas, for they are like seeds that germinate in your mind. They Root, Shoot, and Fruit into Concepts & Creativity that are beyond Imagination.",RVM,"inspiration, motivation"
The value of a man should be seen in what he gives and not in what he is able to receive,Albert Einstein,"inspirational, motivation"
"This life belongs to you dear,Don’t live under any fear..You are an independent soul..you can do anything,You are a free soul..you can refuse to do a particular thing..You are different from them..you are a different soul,And you cannot get dominated by any other soul!Don’t be rude..be generous …be kind,But THIS IS YOUR LIFE AND NOT THEIRS..keep this in mind!",Akanksha Wadhavkar -Author of Motivational poems for starlit souls,"inspiration, motivation, poem, poetry, self-help, self-improvement"
I'd rather be the jester who adds value to those around me than a King with no vision or intention of making a difference.,"Janna Cachola, Short journey","add-value, be-inspired, determination, determined, dream-big, dreams, goal-digger, goals, ignite, inspiration, inspire, intentional, lead, leader, leadership, make-a-difference, motivate, motivation, team, vision"
People stop trying when there’s no benefit for being exceptional and no consequence for being mediocre.,"Frank Sonnenberg, BookSmart: Hundreds of real-world lessons for success and happiness","excellence-in-leadership, motivation"
"Even one day lost in misery is a great loss, for the day will never come back again. You lose 24 hours of happiness, joy & bliss. Live each day in happiness.",RVM,"inspiration, motivation"
"It is high time that you break the shackles of separatism and with the glorious flames of love, compassion and humanism in heart, you assimilate the goodness from all around you. Let love and compassion reign over the modern human civilization and hatred be a matter of ancient history.","Abhijit Naskar, Love, God & Neurons: Memoir of a scientist who found himself by getting lost","brainy-quotes, compassion, fundamentalism, human-nature, humanism, humanity, inspiration, inspirational-quotes, inspiring, inspiring-quotes, love, motivation, pearls-of-wisdom, philosophy, philosophy-of-life, philosophy-quotes, truth, truth-quotes, wisdom, wisdom-inspirational, wisdom-quotes, wise-sayings"
My dreams couldn't defeat me!,Kierra C.T. Banks,"attitude, bold, inspirational, journey, live, motivation, peace"
"Some people live such boring lives; it’s Black & White, so dead! I choose to color my life with Fun, some Blue, some Green, some Red.",RVM,"inspiration, motivation"
