quote,author,category
People add color to their story because they think it happened in black and white.,Tawny Lara,"color, exaggeration, myth, nature-writing, rainbow, story, travel, travel-writing, truth, write-a-book, writer, writers-quotes, writing"
"One does not travel, any more than one falls in love, to collect material. It is simply part of one's life...",Evelyn Waugh,"travel, writing-advice, writing-inspiration"
... to travel is worth any cost or sacrifice.,"Elizabeth Gilbert, Eat, Pray, Love","life, sacrifice, travel"
"I paid for two seats at the back of the car to give my thighs breathing space. The gangly man sitting next to me used the extra space to spread his legs as widely as possible, leaving me squeezed once again against the window. I was livid. Months of travelling cheek-by-jowl in cars had instilled in me a new-found loathing of men’s legs, which, like air, seem constantly to expand to fill the space available. I’m amazed they’re not all buried in Y-shaped coffins.",Noo Saro-Wiwa,"humour, travel"
"He returned to his seat and sat down; the road is so long, so long; he had to get through these spaces where stations clustered about the track amidst the black night like some black coffin set with candles. He thought that minute was flying after minute, mile after mile, everything was moving — even he was moving — but to where?(""Adam"")","Andrei Bely, The Silver Age of Russian Culture: An Anthology","night, train, travel"
Travel has a way of making the world a much smaller place.,"Janna Graber, Chance Encounters: Travel Tales from Around the World","travel, travel-essay, travel-writing"
"After all, one travels in order for things to happen and change; otherwise you might as well stay at home.",Nicolas Bouvier,"travel, travel-writing, traveling"
"Find pleasure in the path, even if the destination can't be foreseen.","L. Peat O'Neil, Travel Writing: See the World. Sell the Story.",travel
"What I’ve learned from my travels is that people are more alike than they are different. Yes, I may have a different home or lifestyle than a mom living in Shanghai, but deep down we are still mothers who hope for the best in our children. I always find so much in common with those I meet on my travels – and that provides a genuine connection that cultural differences can’t erase.",Janna Graber,"travel, travel-essay, traveling, traveling-around-the-world"
"Happily, we do the work.","Lailah Gifty Akita, Think Great: Be Great!","doing-better, doing-what-you-love, doing-your-best, fulfilling-purpose, full-potential, happiness-quote, happy-life, happyquotes, team-building, team-spirit, team-work-quotes, teamwork, training, training-yourself, travel, wishes-fulfilled, work, work-hard, working, working-hours, working-together"
Join the Rienish navy. See unusual sights. Never sleep with the lights out again.,"Martha Wells, The Gate of Gods","fear, nightmares, occupation, travel"
"When you travel, there really are no mistakes--just learning opportunities.","Mary Casanova, Grace","advice, encouragement, mistakes, mistakes-quotes, travel"
"Finding the stewardess, Bly asked her about the monkey. The stewardess replied drily, ""We have met."" Bly was now alarmed to see that the stewardess's arm was bandaged from wrist to shoulder.""What did you do?"" she asked. ""I did nothing but scream,"" the stewardess replied; ""the monkey did the rest.",Matthew Goodman,"history, travel"
"What I’ve learned in my travels is that people are more alike than they are different. Yes, I may have a different home or lifestyle than a mom living in Shanghai, but deep down we are still mothers who hope for the best in our children. I always find so much in common with those I meet on my travels – and that provides a genuine connection that cultural differences can’t erase.","Janna Graber, Chance Encounters: Travel Tales from Around the World","travel, travel-writing, traveling, travelling"
"I was scripting for a series on the Arts programme which was shown very late on a Sunday evening, and I was sent off to get the low down on several up and coming musicians who would be featured each week. To the music world, they may have been up and coming, I would have preferred them to be down and going and preferably out of range.","Lucinda E. Clarke, Truth Lies Propaganda: in Africa","africa, memoir, radio, travel, tv"
"To strengthen the connection between your conscious and subconscious, is to gain access to a map and compass, as you travel through parallel worlds.","Kevin Michel, Moving Through Parallel Worlds To Achieve Your Dreams","hugh-everett, many-worlds, many-worlds-interpretation, neuro-linguistic-programming, nlp, parallel-universes, quantum-mechanics, quantum-physics, self-concept, self-esteem, subconscious, subconscious-mind, subconscious-mind-power, travel, wave-function"
"For me, exploration was a personal venture. I did not go to the Arabian desert to collect plants nor to make a map; such things were incidental. At heart I knew that to write or even to talk of my travels was to tarnish the achievement. I went there to find peace in the hardship of desert travel and the company of desert peoples. I set myself a goal on these journeys, and, although the goal itself was unimportant, its attainment had to be worth every effort and sacrifice... No, it is not the goal but the way there that matters, and the harder the way the more worth while the journey.",Wilfred Thesiger,"achievement, achievement-and-attitude, achievements, goals, journey, travel, travel-quotes, traveler, travelling, travels"
...That's the difference between backpackers and holiday makers. The former can't help but invite hassle whilst the latter pay to escape it.,"Harry Whitewolf, The Road To Purification: Hustlers, Hassles & Hash","backpack, backpacker, backpacking, travel, travel-quotes, travel-writing, traveling, travelling"
"I wanted to be a King who would found a New World, not in some misty country far across the seas, but right here, right now, at home.",Cressida Cowell,"hiccup, home, journey, quest, travel"
"There are map people whose joy is to lavish more attention on the sheets of colored paper than on the colored land rolling by. I have listened to accounts by such travelers in which every road number was remembered, every mileage recalled, and every little countryside discovered. Another kind of traveler requires to know in terms of maps exactly where he is pin-pointed at every moment, as though there were some kind of safety in black and red lines, in dotted indications and squirming blue of lakes and the shadings that indicate mountains. It is not so with me. I was born lost and take no pleasure in being found, nor much identification from shapes which symbolize continents and states.",John Steinbeck,"adventure, maps, travel"
"The subconscious mind is shielding or showing numerous potential paths, based on what it determines would represent a consistent reality for you.","Kevin Michel, Moving Through Parallel Worlds To Achieve Your Dreams","achievement, destination, getting-lost, goals, guide, hugh-everett, journey, life, many-worlds, many-worlds-interpretation, parallel-universes, path, quantum-jumping, quantum-mechanics, quantum-physics, self-concept, self-esteem, self-help, subconscious, subconscious-mind, subconscious-mind-power, travel, wave-function"
"When you focus on the journey, you will be blessed with guardian angels to direct your path.","Lailah Gifty Akita, Think Great: Be Great!","guardian-angels, journey-quotes, journeys, path-of-life, paths, travel, travel-quotes, travel-writing, traveler"
"I wanted, I told her, to lie under the stars and smell different breezes. I wanted to drink different waters, feel different heats. Stand with my comrades atop the ruin of old ideas. Plant my boot and steel my eye and not run. I said all this to my dead mother, spoke it down through the dirt: there was a conflagration to come; I wanted to lend it my spark.",Laird Hunt,"travel, war"
"As it often did when I thought about chicken wings and entropy, my mind turned to Emerson. ""Life is a journey, not a destination."" Now that was one stone-cold motherfucker who was not afraid to deliver the truth: After the torments of the journey, you have been well-prepared for the agonies of the destination.","Colson Whitehead, The Noble Hustle: Poker, Beef Jerky, and Death","destinations, entropy, journeys, ralph-waldo-emerson, travel"
When you follow the right steps you will never get lost.,"Lailah Gifty Akita, Think Great: Be Great!","courage-quotes, determination-quotes, journey-of-life, journey-quotes, life-lessons, path, path-of-life, perseverance, persistent-effort, travel, travel-quotes, travel-writing"
"Humboldt's early biographer, F.A. Schwarzenberg, subtitled his life of Humboldt What May Be Accomplished in a Lifetime. He summarised the areas of his subject's extraordinary curiosity as follows: '1) The knowledge of the Earth and its inhabitants. 2) The discovery of the higher laws of nature, which govern the universe, men, animals, plants, minerals. 3) The discovery of new forms of life. 4) The discovery of territories hitherto but imperfectly known, and their various productions. 5)The acquaintance with new species of the human race--- their manners, their language and the historical traces of their culture.' What may be accomplished in a lifetime---and seldom or never is.","Alain de Botton, The Art of Travel","accomplish-great-things, accomplish-the-impossible, alexander-von-humboldt, explorers, philosophy, scientists, travel"
"Every night we stopped in a cabin where wood had been stacked, matches left, and canned goods laid out for the chance traveler. All the unknown host received in return was a scribbled note giving our thanks, any news we could think of, and our names. This whole system of northern hospitality was a gigantic chain, for while we were eating this man’s beans, he was undoubtedly farther up the trail, eating somebody else’s.","Benedict Freedman, Mrs. Mike","canada, exploration, frontier, history, hospitality, sharing, travel, wilderness, woodsmen"
"Faxian and Xuanzang might have been the first Chinese to travel to India, but sometimes it felt like I was the first.",Hong  Mei,"asia, backpacking, calcutta, china, chinese, delhi, explorers, faxian, india, indian, kolkata, mumbai, travel, women, xuanzang, 中国, 印度, 旅游"
"We reviewed the ways we had to bring customers: Method A, flying aerobatics at the edge of town. Method B, the parachute jump. Then we began experimenting with Method C. There is a principle that says if you lay out a lonely solitaire game in the center of the wilderness, someone will soon come along to look over your shoulder and tell you how to play your cards. This was the principle of Method C. We unrolled our sleeping bags and stretched out under the wing, completely uncaring.","Richard Bach, Nothing by Chance","bach, flying, freedom, life, philosophy, planes, richard, travel"
Moose are the squirrels of Alaska.,Tim Moon,"alaska, moose, squirrels, travel"
"In an age of guidebooks, websites, and radio waves, discovery has nearly become a lost feeling. If anything, it is now a matter of expectations to surpass—rarely a matter of unexpected wonderment. It is unusual to find a situation that appears without word, or a place that was not known to be on the road.","David Levithan, Are We There Yet?","discovery, travel"
"I travel because it makes me realize how much I haven't seen, how much I'm not going to see, and how much I still need to see.","Carew Papritz, The Legacy Letters: his Wife, his Children, his Final Gift","books, carew-papritz, carew-s-quotes, legacy-quotes, quotes, read, the-legacy-letters, travel, traveling, why-travel"
"At times, it almost felt like I was destined to take the trip, like all the people I met had somehow been waiting for me","Nicholas Sparks, The Choice","people, people-relations, travel"
"Driving down deserted early morning roads. Round and round. Round downtown. Through naked streets. Lips pursed on two litre bottles of beer, but pursuing the lips of freedom's night. Swapping cars. Winding up at karaoke bars or Bolsi- the best place in town. For the food. For the folk. For the service. For the crema de papaya. And for that late night dawn's whiskey coffee.","Harry Whitewolf, Route Number 11: Argentina, Angels & Alcohol","11-11-phenomenon, 1111, 1111-phenomenon, alcohol, asuncion, backpacker, beat, beatnik, beer, cerveza, karaoke, paraguay, parties, party, poetic, prose, travel, travel-writing, traveling, travelling"
"The problem with the 11:11 Phenomenon is getting anybody interested in it that hasn't experienced it themselves. Other phenomena, such as U.F.Os or crop circles, are able to be seen. We can debate them. But seeing and being guided by 11:11 is hard to convey to those uninitiated in its ways.","Harry Whitewolf, Route Number 11: Argentina, Angels & Alcohol","11, 11-11, 11-11-phenomenon, 1111, 1111-phenomenon, alcohol, angels, argentina, beat, beatnik, beats, crop-circle, eleven-eleven, phenomena, phenomenon, synchronicities, synchronicity, time-prompt, travel, u-f-o"
"We may travel the world over to find a good spot,But if we are blind to search within, we find it not.","Ana Claudia Antunes, The Tao of Physical and Spiritual","inner-beauty, inner-peace, transformation, travel"
"When you travel, buy a historical book about the place, read to increase your knowledge on the beautiful places of the world.","Lailah Gifty Akita, The Wings of Hope: Survivor","book-lovers, books-reading, historical-books, historyquotes, places-of-the-world, reading-habits, reading-quotes, travel, travel-quotes, travel-writing, travelers-blessing, travelling"
"The places we visited were always richer and always more intricate than one could imagine. I loved to find out about the world, the good and the bad, in this way. For me, observing things with my own eyes was the only way. My wanderlust was also a wonderlust.","Luke F.D. Marsden, Wondering, the Way is Made: A South American Odyssey",travel
"If a picture is worth a thousand words, why did God invent captions?","David Mellonie, Land Mines and Ladyboys: Flirting with Danger in Thailand and Cambodia","angkor-wat, buddhism, cambodia, chiang-mai, khmer-rouge, ladyboys, land-mines, photography, thailand, travel"
"There is a difference between arrival and entrance. Arrival is physical and happens all at once. The train pulls in, the plan touches down, you get out of the taxi with all your luggage. You can arrive a place and never really enter it; you get there, look around, take a few pictures, make a few notes, send postcards home. When you travel like this, you think you know where you are, but, in fact, you have never left home. Entering takes longer. You cross over, slowly, in bits and pieces. […] It is like awakening slowly, over a period of weeks. And then one morning, you open your eyes and you are finally here, really and truly here. You are just beginning to know where you are.",Jamie Zeppa,"bhutan, culture-shock, travel"
Meeting new people is just remembering faces of God we've forgotten.,"Harry Whitewolf, Route Number 11: Argentina, Angels & Alcohol","11-11, 1111, 1111-phenomenon, angels, beat, contemporary, god, phenomena, phenomenon, route-number-11, spirituality, synchronicity, travel"
"I love how the landscape gives the impression of vast space and intimacy at the same time: the thin brown line of a path wandering up an immense green mountainside, a plush hanging valley tucked between two steep hillsides, a village of three houses surrounded by dark forest, paddy fields flowing around an outcrop of rock, a white temple gleaming on a shadowy ridge. The human habitations nestle into the landscape; nothing is cut or cleared beyond what is requires. Nothing is bigger than necessary. Every sign of human settlement repeat the mantra of contentment: “This is just enough.",Jamie Zeppa,"bhutan, culture-differences, modesty, simplicity, travel"
Walk your own path and be yourself,"Joanne Nussbaum, Mongolia Monologues: One Woman's Quest to Experience, Learn and Grow...","finding-yourself, humor, memoir, middle-age, peace-corps, spirituality, travel, volunteering, women"
Beware the crazy traveller! Mind expansion can be contagious...,"Nicole Leigh West, The Gypsy Trail","spiritual-growth, travel"
The study of maps and the perusal of travel books aroused in me a secret fascination that was at times almost irresistible.,"Alain de Botton, The Art of Travel","alexander-von-humboldt, explorer, scientists, travel"
"The colour of fear is never dark or black; it has the colour of thunderbolt; usually white, but can appear in different hues depending on how the fear travels through to get inside your heart",Munia Khan,"black, color, colour, dark, darkness, fear, fear-quote, fears, heart, hue, hues, inside, lightning, never, through, thunder, thunderbolt, travel, travels, white"
"When you're traveling you need to take care of yourself to get by, you have to keep an eye on yourself and your place in the world. It means concentrating on yourself, thinking about yourself and looking after yourself. So when you travel all you really encounter is yourself, as if that were the whole point of it. When you're at home you simply are, you don't have to struggle with anything or achieve anything. You don't have to worry about the railways connections, and timetables, you don't need to experience any thrills or disappointments. You can put yourself to one side - and that's when you see the most.",Olga Tokarczuk,"beauty, disappointment, inspirational, railways, self, struggle, thrills, time, travel"
"THE rule for travelling abroad is to take our common sense with us, and leave our prejudices behind us. The object of travelling is to see and learn; but such is our impatience of ignorance, or the jealousy of our self-love, that we generally set up a certain preconception beforehand (in self-defence, or as a barrier against the lessons of experience,) and are surprised at or quarrel with all that does not conform to it. Let us think what we please of what we really find, but pr",William Hazlitt,travel
"Time has become a melding of minutes and months and the feeling of seasons. […] Leon says it is the Bhutan Time Warp and I know what he means. Time does not hurl itself forward at breakneck speed here. Change happens very slowly. A grandmother and her granddaughter wear the same kind of clothes, they do the same work, they know the same songs. The granddaughter does not find her grandmother an embarrassing, boring relic.","Jamie Zeppa, Beyond the Sky and the Earth: A Journey into Bhutan","bhutan, cultural-differences, travel"
"Whatever yerz’re lookin’ for, I hope yerz find it. Yerz moight’ve never lost it!","Luke F.D. Marsden, Wondering, the Way is Made: A South American Odyssey","philosophy, travel"
"English has so many words that do not exist in Sharchhop, but they are mostly nouns, mostly things: machine, airplane, wristwatch. Sharchhop, on the other hand, reveals a culture of material economy but abundant, intricate familial ties and social relations. People cannot afford to make a distinction between need and desire, but they have separate words for older brother, younger sister, father’s brother’s sons, mother’s sister’s daughters. And there are 2 sets of words: a common set for everyday use and an honorific one to show respect. There are three words for gift: a gift given to a person higher in rank, a gift to someone lower, and a gift between equals.",Jamie Zeppa,"bhutan, culture-differences, travel, values"
"The drive to Black Rock City from San Francisco leads through the Nevada flatlands, past the jittering neon sadness of Reno.",Daniel Pinchbeck,"beautiful, places, travel"
"What I love is how seamless everything is. You walk throw a forest and come out in a village; and there’s no difference, no division. You aren’t in nature one minute and in civilization the next. The houses are made out of mud and stone and wood, drawn from the land around. Nothing stands out, nothing jars.",Jamie Zeppa,"bhutan, travel, wanderlust"
"I travel to be replenished with beauty, for travel makes the beauty of this world seem like a Christmas that never ends. I travel for the jolting, angelic act of seeking strangeness and newness and profoundness . . .","Carew Papritz, The Legacy Letters: his Wife, his Children, his Final Gift","beauty, book-quotes, carew-papritz, christmas, quotes, quotes-by-carew-papritz, the-legacy-letters, travel, world"
"Let the sea breeze blow your hair, let the sunset bring tranquility to your heart, let the distant places you travel allow you to explore yourself.",Somya Kedia,"explore, sea, sunset, tranquility, travel, yourself"
"To travel is to be alive, but to get somewhere is to be dead.",Alan W. Watts,"life, meaning-of-life, travel, zen"
"Familiarity, globalisation, cheap travel, mere weariness had diluted our sense of foreign-ness.","David Nicholls, Us","travel, world-weariness"
Traveling equals having experiences which translate into more opportunities for exposing incorrect ideas about life.,"John duover, Rites","inspirational, realization, travel"
There are different paths to your destination. Choose your own path.,Lailah Gifty Akita,"destination, destinations, destiny-and-attitude, destiny-and-chance, destiny-decides-better, journey, journey-personal-history, journey-quotes, journey-to-the-end-of-the-night, journey-to-yourself, journeys, path, path-in-life, path-of-life, paths, paths-of-life, pathway, road-less-traveled, road-map, road-to-success, travel, your-destiny, your-journey, your-life, yourself"
"Slow down, take time, allow yourself to be wildly diverted from your plan. People are the soul of the place; don't forget to meet them and enjoy their company as you explore a place.","David duChemin, Within the Frame: The Journey of Photographic Vision","people-skills, photography, portrait, street-photography, travel"
"It was one of those situations I often find myself in while traveling. Something's said by a stranger I've been randomly thrown into contact with, and I want to say, ""Listen. I'm with you on most of this, but before we continue, I need to know who you voted for in the last election.","David Sedaris, Let's Explore Diabetes with Owls","autobiography, humor, non-fiction, politics, short-stories, travel"
"So many roads to choose, so many wrong choices to make.",Kenyon Ledford,travel
